       cb1,       sig,       cb2,       kar,       cw2,       cw3,       cv1 
  0.130658,  1.270623,  0.649606,  0.374536,  0.255316,  2.243621,  7.296254 
  0.139252,  1.020418,  0.692086,  0.379434,  0.324275,  2.487704,  7.454040 
  0.132506,  0.684615,  0.625846,  0.360192,  0.329200,  2.643029,  7.497638 
  0.136975,  1.148813,  0.676246,  0.405498,  0.284870,  1.693439,  7.041379 
  0.129584,  0.911776,  0.632326,  0.417743,  0.144490,  1.848764,  7.004009 
  0.137404,  0.838250,  0.655366,  0.400075,  0.083815,  2.743735,  7.128577 
  0.133623,  1.332078,  0.696982,  0.393953,  0.120757,  1.996693,  6.943801 
  0.135514,  1.095040,  0.613462,  0.373137,  0.081352,  1.930125,  7.101587 
  0.131732,  0.759238,  0.671062,  0.380134,  0.206955,  2.373912,  7.010237 
  0.130340,  1.360508,  0.656692,  0.399119,  0.274073,  2.680843,  6.954903 
  0.137967,  1.113595,  0.698452,  0.390898,  0.158321,  2.066937,  7.087775 
  0.134186,  0.695488,  0.611332,  0.370082,  0.089362,  1.887147,  7.033796 
  0.135045,  1.258451,  0.668932,  0.378128,  0.126305,  2.427088,  7.154211 
  0.130490,  1.041167,  0.637972,  0.368332,  0.079511,  2.360520,  6.915457 
  0.139084,  0.675734,  0.660724,  0.409965,  0.205114,  1.613478,  7.214419 
  0.132725,  1.136640,  0.685204,  0.416962,  0.237131,  1.546910,  7.325430 
  0.137193,  0.899603,  0.624004,  0.396146,  0.184516,  2.086851,  7.288060 
  0.129416,  0.860097,  0.672964,  0.390023,  0.255938,  2.242176,  7.412628 
  0.137494,  1.324294,  0.643444,  0.371081,  0.324897,  2.486259,  7.227853 
  0.133713,  1.087257,  0.648484,  0.383326,  0.329822,  2.641585,  7.385638 
  0.135346,  0.750357,  0.695284,  0.365658,  0.285492,  1.699391,  7.294289 
  0.131564,  1.244184,  0.613780,  0.410964,  0.145111,  1.854716,  7.452074 
  0.139643,  1.007147,  0.681460,  0.415862,  0.082422,  2.749687,  7.495673 
  0.131769,  0.641715,  0.629620,  0.397145,  0.119364,  2.002645,  7.045154 
  0.136237,  1.201386,  0.658420,  0.387349,  0.079959,  1.936077,  6.991174 
  0.129878,  0.895213,  0.686500,  0.369682,  0.205562,  2.379864,  7.124046 
  0.138472,  0.835954,  0.619540,  0.385600,  0.240042,  2.313296,  6.964185 
  0.133917,  1.389040,  0.664468,  0.364784,  0.171083,  1.625426,  7.084600 
  0.134776,  1.049946,  0.639268,  0.407991,  0.262207,  1.558858,  7.030621 
  0.130995,  0.724020,  0.652948,  0.412889,  0.320643,  2.078316,  7.163493 
  0.138686,  1.306736,  0.691108,  0.395221,  0.332957,  2.233642,  6.900040 
  0.132843,  0.970933,  0.625588,  0.389099,  0.288626,  2.551689,  7.215611 
  0.136796,  0.601112,  0.675988,  0.375629,  0.140857,  2.573879,  7.340179 
  0.129147,  1.164075,  0.634228,  0.382626,  0.096527,  1.738080,  7.261286 
  0.137741,  0.946791,  0.653293,  0.361810,  0.128543,  1.797251,  7.419072 
  0.133444,  0.788766,  0.699373,  0.407116,  0.075929,  2.692222,  7.221840 
  0.135851,  1.351729,  0.611533,  0.414038,  0.201532,  2.004352,  7.379625 
  0.131103,  1.111400,  0.669133,  0.400569,  0.243400,  1.937784,  7.300732 
  0.139696,  0.716338,  0.636013,  0.386575,  0.167053,  2.371330,  7.458518 
  0.132306,  1.279301,  0.662653,  0.376779,  0.268028,  2.304762,  7.483431 
  0.136001,  1.032387,  0.682669,  0.381677,  0.307433,  1.690856,  7.051597 
  0.130157,  0.663663,  0.621469,  0.362959,  0.326688,  1.579910,  6.997618 
  0.138235,  1.157490,  0.674749,  0.404592,  0.282357,  2.127247,  7.118033 
  0.134454,  0.920453,  0.644509,  0.412639,  0.141977,  2.186418,  6.958172 
  0.134927,  0.851317,  0.647389,  0.402843,  0.097646,  2.504466,  7.091044 
  0.130630,  1.311857,  0.694189,  0.393047,  0.132126,  2.585827,  7.037065 
  0.139224,  1.074820,  0.616429,  0.373805,  0.063167,  1.750028,  7.149053 
  0.132606,  0.768647,  0.678781,  0.378703,  0.208473,  1.792131,  6.918603 
  0.137075,  1.232845,  0.631261,  0.361035,  0.238922,  2.687101,  7.192652 
  0.129685,  0.995808,  0.660061,  0.406341,  0.169963,  2.073196,  7.350437 
  0.137255,  0.636960,  0.687421,  0.418586,  0.270939,  1.962249,  7.259088 
  0.133474,  1.219676,  0.618301,  0.399869,  0.302955,  2.413433,  7.416873 
  0.135364,  0.883873,  0.666541,  0.393747,  0.339897,  2.339468,  7.232098 
  0.131583,  0.824614,  0.641341,  0.372930,  0.290641,  1.636805,  7.389884 
  0.139404,  1.374408,  0.649837,  0.379628,  0.136339,  1.585030,  7.292306 
  0.132013,  1.068236,  0.692317,  0.366158,  0.092008,  2.132367,  7.450091 
  0.136482,  0.742310,  0.626077,  0.403593,  0.133876,  2.173901,  7.493690 
  0.129736,  1.295396,  0.676477,  0.419511,  0.057529,  2.491949,  7.049399 
  0.138329,  0.958496,  0.632557,  0.398695,  0.212686,  2.647274,  6.995420 
  0.134032,  0.622694,  0.655597,  0.390998,  0.225000,  1.767097,  7.128292 
  0.134634,  1.185657,  0.696925,  0.370181,  0.165221,  1.833665,  6.968430 
  0.130853,  0.938743,  0.613405,  0.378228,  0.266196,  2.721239,  7.077488 
  0.138931,  0.787303,  0.671005,  0.368432,  0.305601,  2.018576,  7.040118 
  0.133087,  1.350266,  0.637165,  0.410065,  0.342543,  1.966801,  7.164685 
  0.136589,  1.132982,  0.661645,  0.416537,  0.295750,  2.417984,  6.925931 
  0.129198,  0.708291,  0.684685,  0.395721,  0.150444,  2.333778,  7.187523 
  0.137792,  1.271253,  0.623485,  0.389598,  0.101188,  1.631116,  7.345308 
  0.133238,  1.021048,  0.671218,  0.371931,  0.129846,  1.520169,  7.266415 
  0.135644,  0.685245,  0.645298,  0.384176,  0.060887,  2.156264,  7.424201 
  0.131347,  1.149443,  0.647458,  0.365458,  0.216044,  2.222832,  7.220741 
  0.139941,  0.912406,  0.694258,  0.410765,  0.220970,  2.533483,  7.378526 
  0.132163,  0.838880,  0.614338,  0.415663,  0.176639,  2.600051,  7.299633 
  0.136116,  1.332708,  0.680578,  0.396870,  0.252987,  1.779045,  7.457419 
  0.130273,  1.095670,  0.628594,  0.387074,  0.299332,  1.845613,  7.488561 
  0.138093,  0.759868,  0.657394,  0.369407,  0.336274,  2.716118,  7.056727 
  0.134312,  1.230650,  0.689074,  0.385325,  0.296869,  2.013455,  7.002747 
  0.135171,  0.993613,  0.619234,  0.364509,  0.151564,  1.902509,  7.112294 
  0.130391,  0.657810,  0.665314,  0.408241,  0.104770,  2.442449,  6.969041 
  0.138985,  1.210897,  0.640114,  0.413139,  0.117084,  2.279728,  7.093608 
  0.132625,  0.871802,  0.652354,  0.395471,  0.057305,  1.665822,  7.014716 
  0.137094,  0.812543,  0.689506,  0.389349,  0.212462,  1.525290,  7.172501 
  0.129446,  1.395259,  0.627586,  0.375879,  0.224776,  2.161384,  6.921290 
  0.137524,  1.059456,  0.677986,  0.382351,  0.180446,  2.227952,  7.195339 
  0.133742,  0.733531,  0.633346,  0.361535,  0.249404,  2.522672,  7.353124 
  0.135246,  1.281862,  0.654226,  0.406841,  0.313437,  2.589240,  7.255546 
  0.131465,  0.975689,  0.698866,  0.414888,  0.345454,  1.709063,  7.413332 
  0.139543,  0.610257,  0.610162,  0.401418,  0.292839,  1.864388,  7.228557 
  0.131895,  1.173220,  0.667762,  0.386375,  0.147534,  2.663205,  7.386342 
  0.136363,  0.932890,  0.638242,  0.376579,  0.108129,  2.049300,  7.294993 
  0.130004,  0.804495,  0.662002,  0.381477,  0.113054,  1.908767,  7.452778 
  0.138598,  1.367458,  0.682882,  0.362535,  0.068724,  2.448708,  7.496377 
  0.133850,  1.120545,  0.621682,  0.404167,  0.199253,  2.275745,  7.042682 
  0.134709,  0.692561,  0.673522,  0.412214,  0.217836,  1.661839,  7.005312 
  0.130928,  1.255524,  0.642850,  0.402418,  0.173505,  1.595271,  7.129880 
  0.138748,  1.038240,  0.649330,  0.392622,  0.249852,  2.098230,  6.945105 
  0.132905,  0.672808,  0.696130,  0.373905,  0.313885,  2.253555,  7.102890 
  0.136858,  1.135908,  0.615490,  0.378803,  0.348364,  2.475449,  7.011540 
  0.129080,  0.898871,  0.679570,  0.361135,  0.279406,  2.630774,  7.169326 
  0.137674,  0.859365,  0.630610,  0.406441,  0.153802,  1.721011,  6.930572 
  0.133377,  1.323563,  0.659410,  0.418686,  0.103875,  1.876337,  7.185935 
  0.135783,  1.086526,  0.685733,  0.399444,  0.116189,  2.658084,  7.343720 
  0.131229,  0.757307,  0.620213,  0.393322,  0.071858,  2.044179,  7.264828 
  0.139822,  1.251135,  0.665573,  0.372506,  0.194999,  1.977611,  7.422613 
  0.132432,  1.014098,  0.640373,  0.380552,  0.231941,  2.384416,  7.225381 
  0.135885,  0.648665,  0.650453,  0.367083,  0.182685,  2.317848,  7.383167 
  0.130042,  1.198460,  0.691493,  0.403468,  0.245822,  1.607789,  7.304274 
  0.138120,  0.892287,  0.625109,  0.419386,  0.309855,  1.541220,  7.462060 
  0.134339,  0.833028,  0.675509,  0.398570,  0.351723,  2.103351,  7.498209 
  0.134940,  1.386114,  0.635189,  0.390614,  0.275376,  2.258676,  7.058070 
  0.130643,  1.045922,  0.655349,  0.369798,  0.159624,  2.461706,  6.979177 
  0.139237,  0.719996,  0.697829,  0.377845,  0.090665,  2.617032,  7.136963 
  0.132491,  1.302712,  0.612869,  0.368049,  0.109920,  1.781233,  6.939731 
  0.136960,  0.966910,  0.670469,  0.409681,  0.065589,  1.803422,  7.097516 
  0.129569,  0.608062,  0.635621,  0.416678,  0.196118,  2.698393,  7.018624 
  0.137389,  1.171025,  0.663701,  0.395862,  0.233060,  1.988334,  7.176409 
  0.133608,  0.953741,  0.683861,  0.389740,  0.186267,  1.921766,  6.918970 
  0.135499,  0.795716,  0.622661,  0.372072,  0.257688,  2.387742,  7.193018 
  0.131717,  1.358679,  0.672341,  0.384317,  0.316796,  2.321174,  7.350804 
  0.139344,  1.108473,  0.644981,  0.365075,  0.347245,  1.600873,  7.259454 
  0.131954,  0.713412,  0.646277,  0.410381,  0.278286,  1.534305,  7.417240 
  0.136423,  1.276375,  0.693077,  0.415279,  0.162534,  2.170400,  7.232465 
  0.129805,  1.029461,  0.616757,  0.397611,  0.086187,  2.192589,  7.390250 
  0.138399,  0.659517,  0.680117,  0.387815,  0.123129,  2.510637,  7.289497 
  0.134102,  1.153345,  0.628997,  0.369098,  0.073873,  2.569808,  7.463891 
  0.134575,  0.916308,  0.657797,  0.385017,  0.190602,  1.734010,  7.474272 
  0.130794,  0.847172,  0.688037,  0.364200,  0.227544,  1.815371,  7.067352 
  0.138872,  1.317954,  0.617765,  0.407857,  0.188139,  2.710341,  6.976002 
  0.133028,  1.080917,  0.667445,  0.412755,  0.259561,  1.983213,  7.133788 
  0.136723,  0.774744,  0.642245,  0.395087,  0.321131,  1.916645,  6.949013 
  0.129333,  1.238941,  0.651605,  0.388965,  0.333445,  2.456586,  7.106798 
  0.137926,  1.001904,  0.690485,  0.375496,  0.273666,  2.345639,  7.009220 
  0.133146,  0.633180,  0.627125,  0.382493,  0.157914,  1.642976,  7.167006 
  0.135552,  1.215896,  0.677525,  0.361676,  0.088955,  1.569012,  6.928251 
  0.131256,  0.880094,  0.631676,  0.406982,  0.125897,  2.116349,  7.189843 
  0.139849,  0.820834,  0.656156,  0.415029,  0.079104,  2.197710,  7.347628 
  0.132201,  1.372823,  0.697916,  0.401560,  0.204707,  2.515757,  7.268736 
  0.136154,  1.066651,  0.610796,  0.385991,  0.236724,  2.564688,  7.426521 
  0.130310,  0.740725,  0.668396,  0.376195,  0.184109,  1.728889,  7.218420 
  0.138002,  1.293811,  0.637436,  0.381093,  0.255531,  1.884214,  7.392815 
  0.134220,  0.964593,  0.661052,  0.363426,  0.324489,  2.734806,  7.305617 
  0.135080,  0.628790,  0.685532,  0.405058,  0.329415,  2.032143,  7.438489 
  0.130525,  1.191753,  0.624332,  0.412055,  0.285085,  1.958179,  7.469631 
  0.139119,  0.944840,  0.673292,  0.402259,  0.144704,  2.409362,  7.062711 
  0.132759,  0.783523,  0.643772,  0.392464,  0.082686,  2.357587,  6.983818 
  0.137228,  1.346486,  0.648812,  0.373521,  0.119628,  1.654924,  7.141604 
  0.129386,  1.129202,  0.695612,  0.378419,  0.080223,  1.560477,  6.938143 
  0.137465,  0.704511,  0.613964,  0.360752,  0.205827,  2.107815,  7.095929 
  0.133683,  1.267474,  0.681644,  0.406058,  0.240306,  2.263140,  7.017036 
  0.135316,  1.016170,  0.629804,  0.418303,  0.171347,  2.536809,  7.174822 
  0.131535,  0.680368,  0.658604,  0.399586,  0.262471,  2.603377,  6.923611 
  0.139613,  1.144565,  0.686684,  0.393463,  0.320907,  1.760182,  7.197659 
  0.131836,  0.907528,  0.619724,  0.372647,  0.333221,  1.826750,  7.355444 
  0.136304,  0.844977,  0.664220,  0.380693,  0.288891,  2.736513,  7.254691 
  0.129945,  1.338804,  0.639020,  0.367224,  0.141122,  2.033850,  7.429086 
  0.138539,  1.101767,  0.652700,  0.403084,  0.096791,  1.949645,  7.236006 
  0.133984,  0.765965,  0.690860,  0.419002,  0.128808,  2.400828,  7.368878 
  0.134843,  1.226870,  0.625340,  0.398186,  0.076193,  2.289881,  7.314899 
  0.131062,  0.989833,  0.675740,  0.391539,  0.201797,  1.675976,  7.435314 
  0.138625,  0.654030,  0.633980,  0.370723,  0.243665,  1.513254,  7.478913 
  0.132781,  1.207117,  0.653708,  0.377720,  0.167317,  2.149349,  7.071992 
  0.136735,  0.867656,  0.699788,  0.367924,  0.268293,  2.215917,  6.974415 
  0.129086,  0.808397,  0.611948,  0.409556,  0.307698,  2.548757,  7.132200 
  0.137680,  1.391113,  0.669548,  0.416479,  0.326281,  2.615325,  6.947425 
  0.133383,  1.055311,  0.636428,  0.395662,  0.281950,  1.755061,  7.105210 
  0.135789,  0.729385,  0.663068,  0.389540,  0.141570,  1.821629,  7.013861 
  0.131106,  1.289056,  0.682047,  0.371872,  0.097239,  2.672221,  7.171646 
  0.139699,  0.982883,  0.620847,  0.384117,  0.131719,  2.058315,  6.932892 
  0.132309,  0.617451,  0.674127,  0.365400,  0.062760,  1.895594,  7.182515 
  0.136004,  1.180414,  0.643887,  0.410706,  0.208066,  2.435534,  7.356910 
  0.130160,  0.930208,  0.646767,  0.415604,  0.239411,  2.295002,  7.269713 
  0.138239,  0.801813,  0.693567,  0.397936,  0.170452,  1.681097,  7.402585 
  0.134457,  1.364776,  0.615807,  0.388140,  0.271427,  1.500737,  7.242723 
  0.134865,  1.117862,  0.679023,  0.368898,  0.303444,  2.136832,  7.363138 
  0.130569,  0.692073,  0.631503,  0.384817,  0.340386,  2.203400,  7.309159 
  0.139162,  1.255036,  0.660303,  0.364000,  0.291130,  2.477068,  7.442031 
  0.132545,  1.037752,  0.687663,  0.408782,  0.137540,  2.632394,  7.466945 
  0.137014,  0.672320,  0.618543,  0.413680,  0.093209,  1.700441,  7.060024 
  0.129623,  1.143102,  0.666783,  0.394962,  0.135077,  1.855767,  6.981131 
  0.137315,  0.906065,  0.641583,  0.388840,  0.058730,  2.676772,  7.138917 
  0.133533,  0.866559,  0.649935,  0.375371,  0.213887,  2.062867,  6.941685 
  0.135424,  1.330757,  0.692415,  0.382068,  0.226201,  1.889904,  7.099470 
  0.131643,  1.093720,  0.626175,  0.361252,  0.164183,  2.429845,  7.020578 
  0.139463,  0.754625,  0.676575,  0.406558,  0.265158,  2.363277,  7.178363 
  0.132072,  1.248452,  0.632655,  0.414604,  0.304563,  1.616235,  6.934358 
  0.136541,  1.011415,  0.655695,  0.401135,  0.341505,  1.549667,  7.200101 
  0.129698,  0.645983,  0.696591,  0.386091,  0.294712,  2.089608,  7.332973 
  0.138292,  1.194680,  0.613071,  0.376295,  0.149406,  2.244934,  7.278994 
  0.133995,  0.888507,  0.670671,  0.381193,  0.100150,  2.489016,  7.399409 
  0.134597,  0.829248,  0.636831,  0.363526,  0.130599,  2.644342,  7.239548 
  0.130816,  1.382334,  0.661311,  0.405158,  0.061640,  1.695320,  7.372420 
  0.138894,  1.053116,  0.684351,  0.411631,  0.216798,  1.850646,  7.318441 
  0.133050,  0.727190,  0.623151,  0.401835,  0.221723,  2.745616,  7.432627 
  0.136616,  1.309906,  0.671679,  0.392039,  0.177393,  1.998575,  7.476226 
  0.129226,  0.974104,  0.645759,  0.374371,  0.253740,  1.932007,  7.069306 
  0.137820,  0.605379,  0.647919,  0.379269,  0.298838,  2.375794,  6.977956 
  0.133265,  1.168342,  0.694719,  0.360552,  0.335780,  2.309226,  7.135742 
  0.135671,  0.951058,  0.614799,  0.405858,  0.296375,  1.621356,  6.950967 
  0.131374,  0.793034,  0.681039,  0.418103,  0.151070,  1.554788,  7.108752 
  0.139968,  1.355997,  0.628105,  0.399311,  0.104276,  2.078798,  7.006533 
  0.132126,  1.104328,  0.656905,  0.393188,  0.116590,  2.234123,  7.180928 
  0.136079,  0.709266,  0.688585,  0.372372,  0.056811,  2.552171,  6.908956 
  0.130236,  1.272229,  0.618745,  0.380419,  0.211968,  2.574360,  7.207917 
  0.138056,  1.025315,  0.664825,  0.366949,  0.224282,  1.738561,  7.328333 
  0.134275,  0.666468,  0.639625,  0.403334,  0.179952,  1.797733,  7.274353 
  0.135134,  1.160295,  0.651865,  0.419252,  0.248910,  2.692703,  7.407225 
  0.130450,  0.923258,  0.689881,  0.398436,  0.312943,  2.004833,  7.247364 
  0.139044,  0.854122,  0.627961,  0.391789,  0.344960,  1.938265,  7.361551 
  0.132685,  1.315027,  0.678361,  0.370972,  0.292345,  2.371811,  7.307571 
  0.137154,  1.077990,  0.633721,  0.377445,  0.147039,  2.305243,  7.440443 
  0.129505,  0.771817,  0.654601,  0.367649,  0.107635,  1.691338,  7.471585 
  0.137583,  1.236015,  0.699241,  0.409282,  0.112560,  1.580391,  7.064665 
  0.133802,  0.998978,  0.610393,  0.417328,  0.068230,  2.127728,  6.985772 
  0.135193,  0.632448,  0.667993,  0.396512,  0.198758,  2.186900,  7.143558 
  0.131412,  1.215164,  0.638473,  0.390389,  0.218013,  2.504947,  6.936922 
  0.139490,  0.879362,  0.662233,  0.371672,  0.173683,  2.586308,  7.111317 
  0.131842,  0.820103,  0.683113,  0.383917,  0.250030,  1.750509,  7.024119 
  0.136310,  1.379774,  0.621913,  0.364975,  0.314063,  1.792612,  7.156991 
  0.129951,  1.073601,  0.673753,  0.410281,  0.348542,  2.687583,  6.905780 
  0.138545,  0.747675,  0.642649,  0.415179,  0.279583,  2.073677,  7.204742 
  0.133861,  1.300761,  0.649129,  0.397511,  0.153980,  1.962731,  7.337614 
  0.134720,  0.961667,  0.695929,  0.387716,  0.104052,  2.413914,  7.283635 
  0.130939,  0.625864,  0.615289,  0.368998,  0.116366,  2.339949,  7.397822 
  0.138759,  1.188827,  0.679369,  0.384917,  0.072036,  1.637287,  7.237960 
  0.132916,  0.941913,  0.630409,  0.364100,  0.195176,  1.585512,  7.370832 
  0.136869,  0.779499,  0.659209,  0.408882,  0.232118,  2.132849,  7.316853 
  0.129027,  1.342462,  0.686137,  0.413780,  0.182862,  2.173595,  7.437268 
  0.137621,  1.125178,  0.620617,  0.394538,  0.246000,  2.491642,  7.480867 
  0.133324,  0.700487,  0.665977,  0.388415,  0.310033,  2.646968,  7.073946 
  0.135730,  1.263450,  0.640777,  0.374946,  0.351900,  1.766790,  6.970995 
  0.131176,  1.023121,  0.650857,  0.382992,  0.275553,  1.833358,  7.145389 
  0.139769,  0.687318,  0.691897,  0.362176,  0.159801,  2.720932,  6.952310 
  0.132379,  1.151516,  0.624406,  0.407482,  0.090843,  2.018270,  7.085182 
  0.135945,  0.914479,  0.674806,  0.414479,  0.109426,  1.966494,  7.031203 
